repeat,split,model,mae,rmse,crps
2,test,tuned_d_phi_only,7.0134925828748464,12.479561579161116,6.361155779690485
3,train,untuned_physics_informed,2.6232247281959795,4.453989439257556,2.3226920922392087
3,test,untuned_physics_informed,3.0713979395024986,3.6804545550472705,2.6785634013259543
3,train,untuned_physics_h_only,4.123655568233382,5.9957889818500565,3.798749763918856
3,test,untuned_physics_h_only,3.5604372747954045,3.95840945684361,3.0890756368238406
3,train,untuned_physics_p_only,2.5099349234618873,4.733382353008748,2.2595553274063396
3,test,untuned_physics_p_only,2.489435086678526,2.9761709632579487,2.15300292925606
3,train,untuned_physics_better_upstream,2.6421764927667084,4.576580472945785,2.3542212195711008
3,test,untuned_physics_better_upstream,4.889456583737484,6.577287850449518,4.025774266793428
3,train,tuned_physics_informed,4.022812622280857,5.739281737446983,3.003993287713499
3,test,tuned_physics_informed,2.153741176748966,2.4249381246075035,1.624905027020148
3,train,untuned_physics_mean_only,1.932641230463986,2.812394818869271,1.6318935149186549
3,test,untuned_physics_mean_only,6.512177519447211,8.247721165173363,5.68109992895221
3,train,tuned_physics_mean_only,3.9967954343902954,5.722067963905852,3.007928321564395
3,test,tuned_physics_mean_only,2.1695700668535474,2.401330509175099,1.6364546116143242
3,train,untuned_process_only,3.0413168024336765,4.88489442392824,2.8450697684497217
3,test,untuned_process_only,5.348479972959026,5.61070153562159,4.53037731514203
3,train,untuned_d_phi_only,3.563493036174563,5.337463561546113,3.3852589454998654
3,test,untuned_d_phi_only,10.609068260638177,13.00249074955057,9.503441025529265
3,train,tuned_process_only,0.0006951650089982527,0.001012579266722074,0.03305272356327816
3,test,tuned_process_only,3.213000740534246,3.527515603577371,2.822426929357707
3,train,tuned_d_phi_only,4.5728811016966,7.113083316676669,3.7580056097525487
3,test,tuned_d_phi_only,4.3336154118027155,5.216618660760038,3.1864616290968666
4,train,untuned_physics_informed,2.386389173718927,3.8483492868308105,2.063165801104728
4,test,untuned_physics_informed,10.014684650880861,11.44926028032912,9.632259114718165
4,train,untuned_physics_h_only,2.945119592703298,4.4414752883330815,2.6577741897380984
4,test,untuned_physics_h_only,9.885257445008776,11.44642371746906,9.518205583682617
4,train,untuned_physics_p_only,2.0636951464039552,3.8729004790212342,1.845242451683003
4,test,untuned_physics_p_only,10.509349925961706,11.857882053325913,10.108506689836004
4,train,untuned_physics_better_upstream,2.554771189891173,4.0366235749566,2.239963514574595
4,test,untuned_physics_better_upstream,8.485199725944298,10.623608545083453,8.03822399413869
4,train,tuned_physics_informed,5.112291102524334,8.063657679778968,4.378148940891372
4,test,tuned_physics_informed,7.500801545775801,11.730538306109331,6.633496337017399
4,train,untuned_physics_mean_only,1.9979911133301793,2.9101402425306024,1.694331847424214
4,test,untuned_physics_mean_only,11.203529333801947,13.049345781526435,10.846515207456989
4,train,tuned_physics_mean_only,0.0012073194658757285,0.0018965674232514235,0.02962995490847342
4,test,tuned_physics_mean_only,7.852435816549615,11.460930592854986,5.962126261921415
4,train,untuned_process_only,2.1254048273553448,3.4225623247782813,1.9706045542298503
4,test,untuned_process_only,9.590536258857322,12.901593440200942,9.390527974480083
4,train,untuned_d_phi_only,3.617641241061825,5.629198387782459,3.469384033952999
4,test,untuned_d_phi_only,14.75456774296905,20.80861462556541,13.632239558150326
4,train,tuned_process_only,2.784988222751262,4.288742540060282,2.560883048910053
4,test,tuned_process_only,7.861187084333409,11.319602760209538,5.896364992198457
4,train,tuned_d_phi_only,3.8478893636303515,5.837188351799248,3.12682074785631
4,test,tuned_d_phi_only,7.161618300710515,11.274958889116922,5.688825142494845
5,train,untuned_physics_informed,2.3712732102767,3.7892322186748792,2.0727575883954845
5,test,untuned_physics_informed,12.792026585961574,18.729199192989842,12.167750775061625
5,train,untuned_physics_h_only,2.9438400455017453,4.318156158144835,2.6448422686265523
5,test,untuned_physics_h_only,15.061607625308563,19.90467416269036,13.786921104398495
5,train,untuned_physics_p_only,2.4013455005588336,3.974948541056879,2.134098065176747
5,test,untuned_physics_p_only,12.493697251233826,18.457235763522085,11.942613245213073
5,train,untuned_physics_better_upstream,2.327726781584207,3.632611091928753,2.0063245996334977
5,test,untuned_physics_better_upstream,12.296321152585753,17.100048888701682,11.42553353560436
5,train,tuned_physics_informed,3.3134559143523035,5.37498491899406,2.65488624374081
5,test,tuned_physics_informed,5.447182137925101,6.188771723745055,3.778889765674117
5,train,untuned_physics_mean_only,1.3942929241724273,1.8547272225156204,1.1154938063811077
5,test,untuned_physics_mean_only,9.141184966531887,13.510365053323946,8.464682965884473
5,train,tuned_physics_mean_only,1.2524253601271516,2.0116324615003656,1.2496849281009075
5,test,tuned_physics_mean_only,5.588484822257475,6.507353021670326,3.885738052176034
5,train,untuned_process_only,2.045445208314912,2.8561067012726977,1.8797608786436113
5,test,untuned_process_only,33.26322930408336,37.8175940868989,32.15045024314641
5,train,untuned_d_phi_only,3.561567154190335,5.8437630461687675,3.4012583707490283
5,test,untuned_d_phi_only,4.317874086583918,5.148686890239006,4.118480575357406
5,train,tuned_process_only,3.6823799326913234,6.121957221954375,3.34946734537566
5,test,tuned_process_only,5.110536652113045,6.9363601094452685,3.9347847087278858
5,train,tuned_d_phi_only,0.001375291336540403,0.0020929450467500124,0.032514547425532676
5,test,tuned_d_phi_only,9.984111604221113,13.078529672935739,9.449228137372067
