split,model,mae_mean,mae_std,rmse_mean,rmse_std,crps_mean,crps_std
test,tuned_process_only,5.41702927635966,2.1679073769172,7.805485965172667,4.335776853341168,4.434045012175728,1.715082636352217
test,tuned_physics_informed,5.452869393371001,2.4957319850870623,7.802229901783006,4.832789538675391,4.410743936982251,2.421783550773933
test,tuned_d_phi_only,6.114594362484544,3.013560932048126,8.95634035549343,4.677313469797153,5.365052822170286,2.8691194446251456
test,tuned_physics_mean_only,6.430665241726048,2.839702214125896,8.005979454015906,4.023957010838567,4.692878879573438,2.273137977397156
test,untuned_physics_better_upstream,7.6671548804289475,3.0170128645715346,10.608679436135652,4.6692013381477375,7.036947056856391,2.9788110462695845
test,untuned_physics_p_only,8.174823954103156,4.195119085405865,10.848626492177917,6.408272572723298,7.679494375396862,4.150661864096275
test,untuned_physics_informed,8.373531812599968,4.021573747528442,11.035314123435617,6.155236836980024,7.8572420076073275,3.954000097544628
test,untuned_physics_mean_only,9.126516855436098,1.9264292397616158,11.899550204125156,2.6813762401811907,8.479341473516834,2.0916095440066074
test,untuned_d_phi_only,9.14216270686188,4.970021723450527,11.992016042021335,7.168147637916981,8.500097410857432,4.591878165130542
test,untuned_physics_h_only,9.396760644127369,4.789698766816399,11.64595078557652,6.706168843558533,8.736624913312257,4.560771184355462
test,untuned_process_only,15.132209830606604,11.780152631162187,17.78532303346333,13.401814019375475,14.554850948003542,11.574650292186309
train,tuned_physics_mean_only,1.6304061272191057,1.77982336706255,2.31399881087079,2.4858755357516964,1.2877442239505208,1.317057307193155
train,untuned_physics_mean_only,1.7697398850546868,0.43968498154149377,2.5674488494028447,0.7931494662614395,1.493572223939329,0.4118017293858758
train,untuned_physics_p_only,2.149252646700439,0.5551952652282958,3.7805625590782497,1.2620559682337975,1.9005090081958702,0.5307479788651196
train,untuned_physics_informed,2.383370872536843,0.248914011948084,3.737680659694661,0.7622799626097685,2.0684262740255845,0.2370034967856275
train,untuned_physics_better_upstream,2.4492116954159355,0.3621288898901676,3.836491764285269,0.9088261784839905,2.130712441882637,0.3469370634169997
train,untuned_process_only,2.535002985331835,0.6634706521910623,3.822074817824896,1.132190820370311,2.3623274637123357,0.6477401767565936
train,tuned_process_only,2.5598152283757334,1.4725710745739375,3.9938041734845746,2.3383842371006756,2.3087794370833485,1.3137948659465173
train,tuned_d_phi_only,3.2639112027265824,1.9196741820593028,5.011090708801949,3.019154232168498,2.678897915007503,1.5694819810084133
train,untuned_physics_h_only,3.4167995815209657,0.653945237759857,4.880551862332563,0.993026845608881,3.110258142590139,0.6334051430216214
train,untuned_d_phi_only,3.4494647239445078,0.4534421325786594,5.339800547656327,0.7930654417522133,3.2934669364108644,0.43688956214508345
train,tuned_physics_informed,4.1067175641929,0.7975702186345583,6.222473212017148,1.42314254690273,3.269337590591524,0.7658661844377538
