split,target,stat,mae_mean,mae_std,rmse_mean,rmse_std
test,d,mean,1.3914469878539881,0.6029970116813068,1.631225863708697,0.7841528439986117
test,d,std,2.4963679224884046,1.360760389190779,3.1439273005988744,1.8413444517953514
test,phi,mean,0.18879803657798622,0.14370273577548417,0.3663448409971332,0.35252609416755
test,phi,std,0.010749950548873233,0.005217275059453924,0.016842190049984586,0.01040281285150819
train,d,mean,0.6925824328809644,0.1361044674258424,0.8617185484669252,0.15538377607231157
train,d,std,1.141030129159681,0.2209298294956114,1.7320702510696038,0.3825950568383006
train,phi,mean,0.19755557600681434,0.0533147327590674,0.6087171988642902,0.16183629528800825
train,phi,std,0.008002290568320428,0.005065327757827198,0.021247126858679743,0.013551085580996611
